Title,Score,Genre(s),Runtime,Actor(s)
Koombiyo,9.9,"Crime, Drama, Thriller",20 min,"Thumindu Dodantenne, Kalana Gunasekara, Andrew Pullen, Yureni Noshika"
The Filthy Frank Show,9.9,"Short, Comedy, Fantasy",12 min,"George Miller, Artemis Holdenberry, Zeeq, Bloody Hairy"
Game of Thrones,9.5,"Adventure, Drama, Fantasy",57 min,"Emilia Clarke, Peter Dinklage, Kit Harington, Lena Headey"
Breaking Bad,9.5,"Crime, Drama, Thriller",49 min,"Bryan Cranston, Aaron Paul, Anna Gunn, Betsy Brandt"
Rick and Morty,9.4,"Animation, Adventure, Comedy",22 min,"Chris Parnell, Spencer Grammer, Sarah Chalke, Justin Roiland"
The Wire,9.3,"Crime, Drama, Thriller",59 min,"Dominic West, Lance Reddick, Sonja Sohn, Wendell Pierce"
TVF Pitchers,9.3,"Comedy, Drama",40 min,"Naveen Kasturia, Arunabh Kumar, Jitendra Kumar, Abhay Mahajan"
Sherlock,9.2,"Crime, Drama, Mystery",88 min,"Benedict Cumberbatch, Martin Freeman, Una Stubbs, Rupert Graves"
The Sopranos,9.2,"Crime, Drama",55 min,"James Gandolfini, Lorraine Bracco, Edie Falco, Michael Imperioli"
Avatar: The Last Airbender,9.2,"Animation, Action, Adventure",23 min,"Dee Bradley Baker, Zach Tyler, Mae Whitman, Jack De Sena"
Content Cop,9.2,"Documentary, Comedy, Crime",20 min,"Ian Carter, Calvin Vail, Roman Atwood, Anthony Brady"
Leyla ile Mecnun,9.2,"Adventure, Comedy, Drama",80 min,"Ali Atay, Cengiz Bozkurt, Serkan Keskin, Osman Sonant"
Firefly,9.1,"Adventure, Drama, Sci-Fi",44 min,"Nathan Fillion, Gina Torres, Alan Tudyk, Morena Baccarin"
Hagane no renkinjutsushi,9.1,"Animation, Action, Adventure",24 min,"Kent Williams, Iemasa Kayumi, Muriel Hofmann, Lili Troncale"
Sarabhai vs Sarabhai,9.1,Comedy,30 min,"Satish Shah, Ratna Pathak Shah, Sumeet Raghvan, Rupali Ganguly"
Westworld,9.0,"Drama, Mystery, Sci-Fi",60 min,"Evan Rachel Wood, Jeffrey Wright, Ed Harris, Thandie Newton"
House of Cards,9.0,Drama,51 min,"Kevin Spacey, Michel Gill, Robin Wright, Kate Mara"
Fargo,9.0,"Crime, Drama, Thriller",53 min,"Billy Bob Thornton, Martin Freeman, Allison Tolman, Colin Hanks"
True Detective,9.0,"Crime, Drama, Mystery",55 min,"Vince Vaughn, Colin Farrell, Rachel McAdams, Taylor Kitsch"
Last Week Tonight with John Oliver,9.0,"Comedy, News, Talk-Show",30 min,"John Oliver, David Kaye, Noel MacNeal, Alberto Bonilla"
The Twilight Zone,9.0,"Fantasy, Horror, Mystery",51 min,"Rod Serling, Robert McCord, Jay Overholts, Vaughn Taylor"
Death Note: Desu nôto,9.0,"Animation, Crime, Drama",24 min,"Mamoru Miyano, Brad Swaile, Vincent Tong, Ryô Naitô"
One Punch Man: Wanpanman,9.0,"Animation, Action, Comedy",24 min,"Makoto Furukawa, Max Mittelman, Kaito Ishikawa, Zach Aguilar"
Batman: The Animated Series,9.0,"Animation, Action, Adventure",23 min,"Kevin Conroy, Loren Lester, Efrem Zimbalist Jr., Robert Hastings"
Stranger Things,8.9,"Drama, Fantasy, Horror",55 min,"Millie Bobby Brown, Finn Wolfhard, Winona Ryder, David Harbour"
Friends,8.9,"Comedy, Romance",22 min,"Jennifer Aniston, Courteney Cox, Lisa Kudrow, Matt LeBlanc"
Narcos,8.9,"Biography, Crime, Drama",49 min,"Pedro Pascal, Wagner Moura, Boyd Holbrook, Alberto Ammann"
Black Mirror,8.9,"Drama, Sci-Fi, Thriller",60 min,"Hannah John-Kamen, Michaela Coel, Beatrice Robertson-Jones, Daniel Westwood"
Seinfeld,8.9,Comedy,22 min,"Jerry Seinfeld, Julia Louis-Dreyfus, Michael Richards, Jason Alexander"
Twin Peaks,8.9,"Crime, Drama, Mystery",47 min,"Kyle MacLachlan, Michael Ontkean, Mädchen Amick, Dana Ashbrook"
Arrested Development,8.9,Comedy,489 min,"Jason Bateman, Michael Cera, Portia de Rossi, Will Arnett"
Only Fools and Horses....,8.9,Comedy,95 min,"David Jason, Nicholas Lyndhurst, Roger Lloyd Pack, Buster Merryfield"
Gravity Falls,8.9,"Animation, Adventure, Comedy",23 min,"Jason Ritter, Alex Hirsch, Kristen Schaal, Linda Cardellini"
Skam,8.9,"Drama, Romance",30 min,"Josefine Frida Pettersen, Iman Meskini, Ulrikke Falch, Lisa Teige"
Kaubôi bibappu,8.9,"Animation, Action, Adventure",24 min,"Kôichi Yamadera, Unshô Ishizuka, Megumi Hayashibara, Steve Blum"
Monty Python's Flying Circus,8.9,Comedy,30 min,"Graham Chapman, John Cleese, Terry Gilliam, Eric Idle"
Pod prikritie,8.9,"Action, Crime, Drama",60 min,"See full summary, Vladimir Penev, Ivaylo Zahariev, Zachary Baharov, Marian Valev"
Mindhunter,8.8,"Crime, Drama, Thriller",60 min,"Jonathan Groff, Holt McCallany, Hannah Gross, Sonny Valicenti"
This Is Us,8.8,"Comedy, Drama",45 min,"Milo Ventimiglia, Mandy Moore, Sterling K. Brown, Chrissy Metz"
Peaky Blinders,8.8,"Crime, Drama",60 min,"Cillian Murphy, Paul Anderson, Joe Cole, Helen McCrory"
The Office,8.8,Comedy,22 min,"Steve Carell, Jenna Fischer, John Krasinski, Rainn Wilson"
South Park,8.8,"Animation, Comedy",22 min,"Trey Parker, Matt Stone, Isaac Hayes, Mona Marshall"
It's Always Sunny in Philadelphia,8.8,Comedy,22 min,"Charlie Day, Glenn Howerton, Rob McElhenney, Kaitlin Olson"
The Simpsons,8.8,"Animation, Comedy",22 min,"Dan Castellaneta, Nancy Cartwright, Julie Kavner, Yeardley Smith"
House M.D.,8.8,"Drama, Mystery",44 min,"Hugh Laurie, Omar Epps, Robert Sean Leonard, Jesse Spencer"
The Grand Tour,8.8,"Comedy, Talk-Show",60 min,"Jeremy Clarkson, Richard Hammond, James May, Mike Skinner"
The West Wing,8.8,Drama,44 min,"Martin Sheen, Rob Lowe, Allison Janney, John Spencer"
Freaks and Geeks,8.8,"Comedy, Drama",44 min,"Linda Cardellini, John Francis Daley, James Franco, Samm Levine"
